,name,path,variable,size,seed,lr,iter,constrain,dist_weight,ale_l2,ale_l1,ale_max_diff,ale_rho,pd_l2,pd_l1,pd_max_diff,pd_rho
0,xor,results_final/xor/x1_32_8_gradient_0.1_50_1.0/,x1,32,8,0.1,50,False,1.0,0.0944224962791416,0.0944224962791416,0.14218184493656016,-0.5058517555266581,0.08828816,0.08828816,0.14066035,-0.5792207792207792
0,titanic,results_final/titanic/Fare_64_7_gradient_0.1_50_0.0/,Fare,64,7,0.1,50,False,0.0,0.3398875170030132,0.3398875170030132,0.5133962173523051,0.11142454160789844,0.24209258,0.24209258,0.55060107,-0.9909090909090909
0,xor,results_final/xor/x1_32_8_gradient_0.1_50_10.0/,x1,32,8,0.1,50,False,10.0,0.05822523296610345,0.05822523296610345,0.07594974053311147,0.1742522756827048,0.08153442,0.08153442,0.10177773,-0.1155844155844156
0,bike,results_final/bike/atemp_128_7_gradient_0.1_50_0.1/,atemp,128,7,0.1,50,False,0.1,0.1091302099977781,0.1091302099977781,0.19857516087274352,-0.44509421702404156,0.17683709,0.17683709,0.28534266,-0.838961038961039
0,heart,results_final/heart/age_128_7_gradient_0.1_50_1.0/,age,128,7,0.1,50,False,1.0,0.0037734338531368594,0.0037734338531368594,0.006841839060833377,0.16775032509752924,0.008759263,0.008759263,0.013800979,0.374025974025974
0,titanic,results_final/titanic/Age_64_7_gradient_0.1_50_0.001/,Age,64,7,0.1,50,False,0.001,0.1377078313824836,0.1377078313824836,0.3074003217845732,-0.875243664717349,0.15213653,0.15213653,0.4481163,-0.8675324675324675
0,xor,results_final/xor/x1_64_8_gradient_0.1_50_0.0/,x1,64,8,0.1,50,False,0.0,0.11894081034426125,0.11894081034426125,0.19066007003394841,-0.7139141742522757,0.07604618,0.07604618,0.1521663,-0.9532467532467532
0,heart,results_final/heart/age_128_7_gradient_0.1_50_10.0/,age,128,7,0.1,50,False,10.0,0.0016367303514401165,0.0016367303514401165,0.006778396185847707,0.8413524057217165,0.0036878472,0.0036878472,0.006060183,0.9207792207792208
0,bike,results_final/bike/atemp_128_7_gradient_0.1_50_1.0/,atemp,128,7,0.1,50,False,1.0,0.12476484908327508,0.12476484908327508,0.22041632822968632,-0.0019493177387914231,0.16283439,0.16283439,0.2734406,-0.6415584415584416
0,titanic,results_final/titanic/Fare_64_7_gradient_0.1_50_0.001/,Fare,64,7,0.1,50,False,0.001,0.3293168933585681,0.3293168933585681,0.4999542228931074,0.11142454160789844,0.24190885,0.24190885,0.54226756,-0.9259740259740258
0,titanic,results_final/titanic/Age_64_7_gradient_0.1_50_0.01/,Age,64,7,0.1,50,False,0.01,0.12601274863530734,0.12601274863530734,0.2880653844408981,-0.8999350227420402,0.13947847,0.13947847,0.39339653,-0.8584415584415584
0,adult,results_final/adult/age_128_6_gradient_0.1_50_0.01/,age,128,6,0.1,50,False,0.01,0.07035686155257259,0.07035686155257259,0.13720232780598787,-0.4723846653671215,0.073973045,0.073973045,0.16218546,-0.8948051948051948
0,xor,results_final/xor/x1_64_8_gradient_0.1_50_0.001/,x1,64,8,0.1,50,False,0.001,0.09265608941202808,0.09265608941202808,0.14492628741322577,-0.5422626788036411,0.07261358,0.07261358,0.1393542,-0.8896103896103895
0,heart,results_final/heart/age_32_8_gradient_0.1_50_0.0/,age,32,8,0.1,50,False,0.0,0.023204107609700316,0.023204107609700316,0.050454737367694805,-0.8673602080624188,0.025678612,0.025678612,0.05430895,-0.9974025974025975
0,xor,results_final/xor/x1_64_8_gradient_0.1_50_0.01/,x1,64,8,0.1,50,False,0.01,0.09333784900878703,0.09333784900878703,0.12559890749708597,-0.5669700910273081,0.069869146,0.069869146,0.12750065,-0.8077922077922077
0,bike,results_final/bike/atemp_128_7_gradient_0.1_50_10.0/,atemp,128,7,0.1,50,False,10.0,0.1279194982713849,0.1279194982713849,0.20717429513041424,0.13580246913580246,0.14686419,0.14686419,0.25669703,-0.2922077922077922
0,titanic,results_final/titanic/Fare_64_7_gradient_0.1_50_0.01/,Fare,64,7,0.1,50,False,0.01,0.2991407986682485,0.2991407986682485,0.4291833802607417,0.27644569816643155,0.23594786,0.23594786,0.520084,-0.8051948051948051
0,titanic,results_final/titanic/Age_64_7_gradient_0.1_50_0.1/,Age,64,7,0.1,50,False,0.1,0.0816237407372963,0.0816237407372963,0.18923807477111926,-0.5802469135802469,0.09377155,0.09377155,0.24812675,-0.287012987012987
0,xor,results_final/xor/x1_64_8_gradient_0.1_50_0.1/,x1,64,8,0.1,50,False,0.1,0.10501742389833953,0.10501742389833953,0.1358004810702047,-0.5461638491547464,0.07040147,0.07040147,0.12402451,-0.648051948051948
0,heart,results_final/heart/age_32_8_gradient_0.1_50_0.001/,age,32,8,0.1,50,False,0.001,0.024557560321642632,0.024557560321642632,0.05128756481079268,-0.94148244473342,0.02525874,0.02525874,0.04771948,-0.9948051948051948
0,bike,results_final/bike/atemp_32_8_gradient_0.1_50_0.0/,atemp,32,8,0.1,50,False,0.0,0.0765885758086994,0.0765885758086994,0.14614092338856624,-0.003248862897985705,0.11788748,0.11788748,0.2240093,-0.8493506493506494
0,xor,results_final/xor/x1_64_8_gradient_0.1_50_1.0/,x1,64,8,0.1,50,False,1.0,0.11539661261134085,0.11539661261134085,0.15480826225919578,-0.48504551365409626,0.06852971,0.06852971,0.10378459,-0.3896103896103896
0,titanic,results_final/titanic/Fare_64_7_gradient_0.1_50_0.1/,Fare,64,7,0.1,50,False,0.1,0.2724925449205736,0.2724925449205736,0.3765361806066807,0.28067700987306066,0.17956837,0.17956837,0.38685834,-0.4506493506493507
0,titanic,results_final/titanic/Age_64_7_gradient_0.1_50_1.0/,Age,64,7,0.1,50,False,1.0,0.016336517830756653,0.016336517830756653,0.05042051625100738,0.9428200129954515,0.03146347,0.03146347,0.060937703,0.9909090909090909
0,heart,results_final/heart/age_32_8_gradient_0.1_50_0.01/,age,32,8,0.1,50,False,0.01,0.01855586333387005,0.01855586333387005,0.03491087988460229,-0.6618985695708712,0.018597808,0.018597808,0.0357759,-0.8870129870129868
0,adult,results_final/adult/age_128_6_gradient_0.1_50_0.1/,age,128,6,0.1,50,False,0.1,0.0455621281517832,0.0455621281517832,0.09091391826888953,-0.22547108512020791,0.0509199,0.0509199,0.09246892,0.05844155844155843
0,xor,results_final/xor/x1_64_8_gradient_0.1_50_10.0/,x1,64,8,0.1,50,False,10.0,0.11165406154759465,0.11165406154759465,0.1402799000578418,-0.44343302990897265,0.066803634,0.066803634,0.07624501,-0.21038961038961035
0,bike,results_final/bike/atemp_32_8_gradient_0.1_50_0.001/,atemp,32,8,0.1,50,False,0.001,0.07751520557668691,0.07751520557668691,0.14602889021312998,0.0019493177387914231,0.11917175,0.11917175,0.23573872,-0.8493506493506494
0,xor,results_final/xor/x1_128_8_gradient_0.1_50_0.0/,x1,128,8,0.1,50,False,0.0,0.09165616691400566,0.09165616691400566,0.14023065177338298,-0.6332899869960987,0.057288796,0.057288796,0.11018625,-0.9753246753246754
0,titanic,results_final/titanic/Fare_64_7_gradient_0.1_50_1.0/,Fare,64,7,0.1,50,False,1.0,0.022607040008503405,0.022607040008503405,0.03315213507679817,0.623413258110014,0.058202416,0.058202416,0.13967788,1.0
